ACCNUM,X,Y,Index_,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVAGE,INJURY,FATAL_NO,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
128407,-8813129.577,5442898.46,5873131,2009,2009/09/01 04:00:00+00,2140,21,PICKERING TOWN LINE,STEELES AVE E,,Local,Scarborough,25.0,42,43.854145,-79.16969,Mid-Block,,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,15 to 19,2,,0,0,1,0,0,0,0,1,1,1,0,0,0,131,Rouge (131),4206
882024,-8819263.281,5441138.772999999,3363209,2006,2006/01/07 05:00:00+00,2325,23,STEELES AVE E,NINTH LINE ST,,Minor Arterial,Scarborough,25.0,42,43.842745,-79.22479,Mid-Block,,No Control,Clear,Dark,Wet,Fatal,Approaching,unknown,3,,0,0,1,0,0,0,0,0,0,0,0,0,0,131,Rouge (131),22
882079,-8832963.148,5431005.658,3363338,2006,2006/01/06 05:00:00+00,2210,22,DON MILLS RD,LEITH HILL RD,,Major Arterial,North York,17.0,33,43.777056,-79.347858,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,50 to 54,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,47,Don Valley Village (47),19
882174,-8825664.152,5429832.312999999,3363416,2006,2006/01/09 05:00:00+00,1435,14,KENNEDY RD,GLAMORGAN AVE,,Major Arterial,Scarborough,21.0,41,43.769445000000005,-79.28229,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,unknown,3,,1,0,1,0,0,0,0,0,0,0,0,0,0,126,Dorset Park (126),35
882497,-8856366.067,5422435.863,3363869,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1.0,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,unknown,3,,1,0,1,0,0,0,0,1,0,1,0,0,0,5,Elms-Old Rexdale (5),32
882501,-8828525.063,5422528.282000001,3363882,2006,2006/01/11 05:00:00+00,1120,11,BARTLEY DR,JINNAH CRT,,Collector,North York,16.0,54,43.722045,-79.30799,Intersection,,No Control,Clear,Daylight,Wet,Fatal,SMV Other,unknown,3,,0,0,1,0,0,0,0,1,1,1,0,0,0,43,Victoria Village (43),46
882912,-8854340.053,5425455.363,3364471,2006,2006/01/14 05:00:00+00,904,9,WESTON RD,CORONADO CRT,,Major Arterial,Etobicoke York,7.0,31,43.741045,-79.53989,Mid-Block,,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,1,1,0,0,0,22,Humbermede (22),49
884090,-8839463.65,5411882.612000001,3366652,2006,2006/01/02 05:00:00+00,705,7,BATHURST ST,DUNDAS ST W,60 NORTH OF,Major Arterial,Toronto and East York,11.0,14,43.652892,-79.406253,Mid-Block,,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,45 to 49,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,78,Kensington-Chinatown (78),15
884135,-8822213.248,5425855.984,3551025,2006,2006/01/10 05:00:00+00,804,8,BRIMLEY RD,GULLY DR,,Major Arterial,Scarborough,21.0,43,43.743645,-79.25129,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,80 to 84,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,127,Bendale (127),40
884310,-8813207.501,5429154.057999999,3367201,2006,2006/01/22 05:00:00+00,230,2,460 CORONATION DR,,,Collector,Scarborough,25.0,43,43.765045,-79.17039,Mid-Block,,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,2,,1,0,1,0,0,0,0,0,0,1,0,0,0,136,West Hill (136),66
